Epoch,Train Loss,Val Loss,MSE,MAE,RÂ²,Learning Rate
1,0.099709,0.087699,0.087699,0.217316,0.583978,0.000300000000
2,0.085708,0.084075,0.084075,0.216575,0.599918,0.000300000000
3,0.082782,0.090083,0.090083,0.223467,0.591147,0.000300000000
4,0.081260,0.082355,0.082355,0.223311,0.610746,0.000300000000
5,0.080260,0.083764,0.083764,0.223090,0.605574,0.000300000000
6,0.079423,0.079836,0.079836,0.206071,0.622498,0.000300000000
7,0.078884,0.082069,0.082069,0.208067,0.615217,0.000300000000
8,0.078024,0.094188,0.094188,0.221766,0.580122,0.000300000000
9,0.077523,0.078968,0.078968,0.209603,0.626960,0.000300000000
10,0.076744,0.083942,0.083942,0.215934,0.612387,0.000300000000
11,0.076446,0.077721,0.077721,0.212212,0.634484,0.000300000000
12,0.075906,0.076151,0.076151,0.197872,0.638108,0.000300000000
13,0.075465,0.076644,0.076644,0.202397,0.637069,0.000300000000
14,0.074914,0.074835,0.074835,0.198181,0.644143,0.000300000000
15,0.074505,0.076503,0.076503,0.209740,0.640949,0.000300000000
16,0.074041,0.076729,0.076729,0.200328,0.638087,0.000300000000
17,0.073710,0.075177,0.075177,0.206998,0.644104,0.000300000000
18,0.073330,0.083840,0.083840,0.224026,0.614549,0.000300000000
19,0.073030,0.074586,0.074586,0.208313,0.648214,0.000300000000
20,0.072767,0.075662,0.075662,0.206379,0.646344,0.000300000000
21,0.072534,0.073794,0.073794,0.204460,0.653344,0.000300000000
22,0.072311,0.075593,0.075593,0.210698,0.644995,0.000300000000
23,0.072231,0.073634,0.073634,0.211158,0.655479,0.000300000000
24,0.071913,0.073399,0.073399,0.207834,0.654314,0.000300000000
25,0.071802,0.076095,0.076095,0.201462,0.643411,0.000300000000
26,0.071715,0.072953,0.072953,0.209699,0.657703,0.000300000000
27,0.071486,0.077215,0.077215,0.211226,0.639315,0.000300000000
28,0.071267,0.074062,0.074062,0.208220,0.654110,0.000300000000
29,0.071177,0.079643,0.079643,0.224444,0.642254,0.000300000000
30,0.071118,0.074397,0.074397,0.218586,0.656692,0.000300000000
31,0.070966,0.074507,0.074507,0.214823,0.656698,0.000300000000
32,0.070779,0.073946,0.073946,0.205774,0.653865,0.000300000000
33,0.070723,0.073686,0.073686,0.216140,0.658992,0.000300000000
34,0.070583,0.073490,0.073490,0.212977,0.658080,0.000150000000
35,0.068335,0.072680,0.072680,0.216382,0.669373,0.000150000000
36,0.067576,0.070355,0.070355,0.203920,0.671439,0.000150000000
37,0.067060,0.069274,0.069274,0.200258,0.674137,0.000150000000
38,0.066785,0.069721,0.069721,0.202685,0.673729,0.000150000000
39,0.066534,0.068690,0.068690,0.199076,0.676847,0.000150000000
40,0.066358,0.068446,0.068446,0.190189,0.675134,0.000150000000
41,0.066173,0.068585,0.068585,0.195776,0.676046,0.000150000000
42,0.065908,0.069222,0.069222,0.201163,0.674877,0.000150000000
43,0.065861,0.069103,0.069103,0.204524,0.678094,0.000150000000
44,0.065671,0.068663,0.068663,0.197740,0.676484,0.000150000000
45,0.065632,0.069975,0.069975,0.205601,0.674630,0.000150000000
46,0.065438,0.067722,0.067722,0.191221,0.679391,0.000150000000
47,0.065345,0.068416,0.068416,0.199466,0.678802,0.000150000000
48,0.065195,0.068954,0.068954,0.204139,0.678617,0.000150000000
49,0.065004,0.069006,0.069006,0.203567,0.677620,0.000150000000
50,0.065033,0.067551,0.067551,0.195009,0.681406,0.000150000000
51,0.065048,0.070408,0.070408,0.210526,0.678229,0.000150000000
52,0.064977,0.067400,0.067400,0.192475,0.683947,0.000150000000
53,0.064924,0.067141,0.067141,0.199283,0.686540,0.000150000000
54,0.064843,0.067066,0.067066,0.198680,0.685679,0.000150000000
55,0.064697,0.066541,0.066541,0.193173,0.686602,0.000150000000
56,0.064609,0.067386,0.067386,0.197822,0.684101,0.000150000000
57,0.064517,0.066900,0.066900,0.198130,0.686422,0.000150000000
58,0.064497,0.067144,0.067144,0.198414,0.685777,0.000150000000
59,0.064366,0.066955,0.066955,0.199101,0.686758,0.000150000000
60,0.064287,0.066674,0.066674,0.195586,0.686154,0.000150000000
61,0.064233,0.066969,0.066969,0.193382,0.683437,0.000150000000
62,0.064229,0.066758,0.066758,0.196926,0.686285,0.000150000000
63,0.064055,0.066961,0.066961,0.198074,0.686257,0.000075000000
64,0.062151,0.065223,0.065223,0.190204,0.692433,0.000075000000
65,0.061466,0.064401,0.064401,0.190263,0.696798,0.000075000000
66,0.060967,0.064129,0.064129,0.187180,0.696810,0.000075000000
67,0.060765,0.064019,0.064019,0.187366,0.697386,0.000075000000
68,0.060424,0.063297,0.063297,0.182615,0.699668,0.000075000000
69,0.060319,0.063997,0.063997,0.187402,0.697689,0.000075000000
70,0.060271,0.064132,0.064132,0.190003,0.697847,0.000075000000
71,0.060015,0.063572,0.063572,0.185257,0.699044,0.000075000000
72,0.059844,0.063721,0.063721,0.187967,0.699159,0.000075000000
73,0.059729,0.063894,0.063894,0.189476,0.699066,0.000075000000
74,0.059634,0.063413,0.063413,0.181250,0.698762,0.000075000000
75,0.059395,0.064395,0.064395,0.189312,0.696395,0.000075000000
76,0.059400,0.063409,0.063409,0.185356,0.699880,0.000037500000
77,0.058154,0.062425,0.062425,0.180265,0.703544,0.000037500000
78,0.057624,0.062047,0.062047,0.179291,0.705317,0.000037500000
79,0.057249,0.062133,0.062133,0.178102,0.704569,0.000037500000
80,0.057039,0.061850,0.061850,0.180131,0.706604,0.000037500000
81,0.056888,0.062095,0.062095,0.181072,0.705655,0.000037500000
82,0.056701,0.061864,0.061864,0.178312,0.706163,0.000037500000
83,0.056596,0.061924,0.061924,0.178060,0.705663,0.000037500000
84,0.056486,0.061689,0.061689,0.176665,0.706583,0.000037500000
85,0.056409,0.061717,0.061717,0.177733,0.706722,0.000037500000
86,0.056173,0.061583,0.061583,0.174357,0.706705,0.000037500000
87,0.056126,0.061733,0.061733,0.180617,0.707429,0.000037500000
88,0.056081,0.061653,0.061653,0.176334,0.706729,0.000037500000
89,0.055841,0.062058,0.062058,0.180131,0.705598,0.000037500000
90,0.055804,0.061011,0.061011,0.171761,0.709391,0.000037500000
91,0.055823,0.062038,0.062038,0.179931,0.705712,0.000037500000
92,0.055655,0.061310,0.061310,0.175258,0.708365,0.000037500000
93,0.055496,0.061495,0.061495,0.174191,0.707712,0.000037500000
94,0.055396,0.061492,0.061492,0.175978,0.707515,0.000037500000
95,0.055403,0.061791,0.061791,0.176643,0.706121,0.000037500000
96,0.055377,0.061689,0.061689,0.177334,0.706868,0.000037500000
97,0.055230,0.062222,0.062222,0.178329,0.704510,0.000037500000
98,0.055102,0.061911,0.061911,0.178252,0.706311,0.000018750000
99,0.054332,0.061143,0.061143,0.170811,0.708555,0.000018750000
100,0.054067,0.060890,0.060890,0.174881,0.710414,0.000018750000
101,0.054555,0.055002,0.055002,0.167328,0.739429,0.000018750000
102,0.054353,0.055006,0.055006,0.164699,0.738643,0.000018750000
103,0.054175,0.054787,0.054787,0.165909,0.740020,0.000018750000
104,0.054134,0.054909,0.054909,0.166336,0.739545,0.000018750000
105,0.054086,0.054798,0.054798,0.166420,0.740183,0.000018750000
106,0.053850,0.055014,0.055014,0.164919,0.738743,0.000018750000
107,0.053762,0.054887,0.054887,0.164658,0.739206,0.000018750000
108,0.053636,0.054699,0.054699,0.166051,0.740526,0.000018750000
109,0.053669,0.054915,0.054915,0.165323,0.739138,0.000018750000
110,0.053555,0.055068,0.055068,0.165825,0.738481,0.000018750000
111,0.053530,0.055221,0.055221,0.164218,0.737329,0.000018750000
112,0.053276,0.055178,0.055178,0.168009,0.738637,0.000018750000
113,0.053365,0.055032,0.055032,0.162914,0.738165,0.000018750000
114,0.053209,0.055338,0.055338,0.165373,0.737000,0.000018750000
115,0.053218,0.055739,0.055739,0.166580,0.735133,0.000018750000
116,0.053159,0.055475,0.055475,0.166145,0.736614,0.000009375000
117,0.052561,0.054968,0.054968,0.164381,0.738750,0.000009375000
118,0.052416,0.054880,0.054880,0.162035,0.738632,0.000009375000
119,0.052338,0.054972,0.054972,0.162606,0.738318,0.000009375000
120,0.052237,0.055034,0.055034,0.161954,0.737952,0.000009375000
121,0.052203,0.054785,0.054785,0.161637,0.739140,0.000009375000
122,0.052038,0.055045,0.055045,0.164773,0.738376,0.000009375000
123,0.052047,0.054874,0.054874,0.161630,0.738703,0.000009375000
124,0.051903,0.055288,0.055288,0.162815,0.736696,0.000009375000
125,0.051813,0.055400,0.055400,0.162161,0.736051,0.000009375000
126,0.051961,0.055227,0.055227,0.162646,0.737066,0.000009375000
127,0.051845,0.054896,0.054896,0.162357,0.738622,0.000004687500
128,0.051655,0.055037,0.055037,0.162029,0.737892,0.000004687500
129,0.051479,0.054847,0.054847,0.161497,0.738752,0.000004687500
130,0.051464,0.054875,0.054875,0.162054,0.738710,0.000004687500
131,0.051236,0.054899,0.054899,0.160322,0.738345,0.000004687500
132,0.051342,0.055076,0.055076,0.161508,0.737634,0.000004687500
133,0.051297,0.054787,0.054787,0.159702,0.738838,0.000004687500
134,0.051385,0.054549,0.054549,0.161418,0.740255,0.000004687500
135,0.051348,0.054730,0.054730,0.161022,0.739253,0.000004687500
136,0.051140,0.055052,0.055052,0.160785,0.737670,0.000004687500
137,0.051259,0.054808,0.054808,0.160084,0.738727,0.000004687500
138,0.051191,0.054985,0.054985,0.159878,0.737846,0.000004687500
139,0.051021,0.054871,0.054871,0.160245,0.738462,0.000004687500
140,0.051078,0.055078,0.055078,0.161014,0.737549,0.000004687500
141,0.051015,0.054801,0.054801,0.159867,0.738784,0.000004687500
142,0.050910,0.055212,0.055212,0.160463,0.736779,0.000002343750
143,0.051006,0.054665,0.054665,0.160079,0.739481,0.000002343750
144,0.050790,0.054607,0.054607,0.159505,0.739683,0.000002343750
145,0.050861,0.054673,0.054673,0.159822,0.739401,0.000002343750
146,0.050874,0.055101,0.055101,0.159007,0.737221,0.000002343750
147,0.050713,0.054851,0.054851,0.160077,0.738519,0.000002343750
148,0.050739,0.054666,0.054666,0.159311,0.739407,0.000002343750
149,0.050770,0.054771,0.054771,0.159430,0.738896,0.000002343750
150,0.050671,0.055017,0.055017,0.160203,0.737733,0.000002343750
151,0.051039,0.050688,0.050688,0.155069,0.759072,0.000002343750
152,0.051029,0.050757,0.050757,0.155009,0.758716,0.000002343750
153,0.051031,0.050738,0.050738,0.154825,0.758762,0.000002343750
154,0.051076,0.050694,0.050694,0.153206,0.758681,0.000002343750
155,0.051019,0.050824,0.050824,0.155192,0.758340,0.000002343750
156,0.051083,0.050759,0.050759,0.154916,0.758650,0.000002343750
157,0.051005,0.050696,0.050696,0.153952,0.758827,0.000002343750
158,0.050923,0.050861,0.050861,0.154493,0.758064,0.000002343750
159,0.050984,0.051152,0.051152,0.155301,0.756741,0.000001171875
160,0.050916,0.050946,0.050946,0.155377,0.757819,0.000001171875
161,0.050844,0.051209,0.051209,0.154703,0.756300,0.000001171875
162,0.050800,0.051209,0.051209,0.154865,0.756397,0.000001171875
163,0.050826,0.050679,0.050679,0.154004,0.758924,0.000001171875
164,0.050787,0.050908,0.050908,0.154472,0.757790,0.000001171875
165,0.050861,0.051004,0.051004,0.154949,0.757378,0.000001171875
166,0.050859,0.051207,0.051207,0.155444,0.756531,0.000001171875
167,0.050751,0.051059,0.051059,0.154292,0.757011,0.000001171875
168,0.050596,0.051269,0.051269,0.155897,0.756297,0.000001171875
169,0.050768,0.051217,0.051217,0.155608,0.756466,0.000001171875
170,0.050794,0.050792,0.050792,0.154340,0.758412,0.000001171875
171,0.050703,0.051014,0.051014,0.154902,0.757384,0.000000585937
172,0.050699,0.051189,0.051189,0.155193,0.756533,0.000000585937
173,0.050732,0.051077,0.051077,0.154410,0.756950,0.000000585937
174,0.050612,0.051229,0.051229,0.155588,0.756377,0.000000585937
175,0.050660,0.050774,0.050774,0.154909,0.758569,0.000000585937
176,0.050592,0.051150,0.051150,0.154950,0.756659,0.000000585937
177,0.050601,0.051202,0.051202,0.154637,0.756395,0.000000585937
178,0.050688,0.051110,0.051110,0.155195,0.756952,0.000000585937
179,0.050590,0.051017,0.051018,0.154866,0.757339,0.000000585937
180,0.050628,0.051229,0.051229,0.154517,0.756164,0.000000585937
181,0.050587,0.051146,0.051146,0.154854,0.756679,0.000000585937
182,0.050585,0.051208,0.051208,0.154705,0.756352,0.000000292969
183,0.050625,0.051254,0.051254,0.155363,0.756254,0.000000292969
184,0.050644,0.051101,0.051101,0.155139,0.757019,0.000000292969
185,0.050644,0.051242,0.051242,0.154481,0.756115,0.000000292969
186,0.050546,0.050650,0.050650,0.154026,0.759086,0.000000292969
187,0.050681,0.050856,0.050856,0.154087,0.758053,0.000000292969
188,0.050655,0.051027,0.051027,0.154172,0.757140,0.000000292969
189,0.050584,0.051068,0.051068,0.154063,0.756952,0.000000292969
190,0.050643,0.051086,0.051086,0.153796,0.756801,0.000000292969
191,0.050511,0.051179,0.051179,0.155093,0.756574,0.000000292969
192,0.050604,0.050956,0.050956,0.153999,0.757487,0.000000292969
193,0.050472,0.051175,0.051175,0.154088,0.756419,0.000000292969
194,0.050511,0.051225,0.051225,0.155255,0.756389,0.000000146484
195,0.050652,0.050960,0.050960,0.154444,0.757553,0.000000146484
196,0.050567,0.050727,0.050727,0.154244,0.758701,0.000000146484
197,0.050590,0.050954,0.050954,0.154187,0.757505,0.000000146484
198,0.050589,0.051346,0.051346,0.154743,0.755616,0.000000146484
199,0.050516,0.051022,0.051022,0.154420,0.757259,0.000000146484
200,0.050552,0.050926,0.050926,0.155081,0.757842,0.000000146484
201,0.050645,0.050311,0.050311,0.152751,0.760503,0.000000146484
202,0.050619,0.049820,0.049820,0.153034,0.763102,0.000000146484
203,0.050535,0.050180,0.050180,0.153294,0.761312,0.000000146484
204,0.050636,0.049963,0.049963,0.152628,0.762267,0.000000146484
205,0.050678,0.050111,0.050111,0.152724,0.761536,0.000000146484
206,0.050663,0.050035,0.050035,0.152361,0.761876,0.000000146484
207,0.050612,0.049940,0.049940,0.152604,0.762364,0.000000146484
208,0.050618,0.050020,0.050020,0.153102,0.762208,0.000000146484
209,0.050623,0.049981,0.049981,0.153355,0.762436,0.000000146484
210,0.050716,0.050268,0.050268,0.154002,0.761071,0.000000073242
211,0.050618,0.049999,0.049999,0.153629,0.762294,0.000000073242
212,0.050643,0.050064,0.050064,0.152503,0.761738,0.000000073242
213,0.050623,0.050123,0.050123,0.153880,0.761788,0.000000073242
214,0.050632,0.050195,0.050195,0.153415,0.761255,0.000000073242
215,0.050671,0.050190,0.050190,0.153048,0.761238,0.000000073242
216,0.050712,0.050326,0.050326,0.152995,0.760478,0.000000073242
217,0.050618,0.050125,0.050125,0.153618,0.761618,0.000000073242
218,0.050640,0.050203,0.050203,0.153380,0.761150,0.000000073242
